iter	RMSE
0	0.9825502786
1	0.974242695
2	0.9676517898
3	0.9623999614
4	0.9581018638
5	0.9543260031
6	0.9508262253
7	0.9480870724
8	0.9457478709
9	0.9437034343
10	0.9420338154
11	0.9404803884
12	0.9392152689
13	0.9379950341
14	0.9370115929
15	0.9359848592
16	0.9350962084
17	0.9343887623
18	0.933593991
19	0.932872959
20	0.9323687573
21	0.9317715645
22	0.9312721771
23	0.9308932959
24	0.9304479098
25	0.9299725972
26	0.9295640191
27	0.9291260913
28	0.9287064702
29	0.9283693565
30	0.9280604255
31	0.9277654726
32	0.9274164365
33	0.9270003875
34	0.9267207702
35	0.9264707751
36	0.926151717
37	0.9259057267
38	0.9256879323
39	0.9254500501
40	0.9251918087
41	0.9250217596
42	0.9248122988
43	0.9246773156
44	0.9244678464
45	0.924247344
46	0.9240337242
47	0.9239147594
48	0.9237657626
49	0.9236032106
50	0.9234337457
51	0.9233028126
52	0.92318887
53	0.9230505029
54	0.9229067086
55	0.9227833299
56	0.9226454756
57	0.9225377679
58	0.9223976695
59	0.9223108406
60	0.9221887927
61	0.9220528563
62	0.921929589
63	0.9218267928
64	0.9216436885
65	0.9215364167
66	0.9214753659
67	0.9213981251
68	0.9212992342
69	0.921193896
70	0.9211180082
71	0.9210577407
72	0.9209453787
73	0.9208698559
74	0.9206857801
75	0.920573447
76	0.920489408
77	0.9203453342
78	0.9202550936
79	0.9202009494
80	0.9200631091
81	0.9199645077
82	0.9197799795
83	0.9197130642
84	0.9196434623
85	0.9195611967
86	0.9194908715
87	0.919392981
88	0.9192880927
89	0.9191841537
90	0.9191057265
91	0.9190485634
92	0.9189972559
93	0.9188760859
94	0.9187838131
95	0.9187003624
96	0.9186373393
97	0.9185604079
98	0.9184995712
99	0.9184014443
100	0.9182726219
101	0.9181889704
102	0.9180330382
103	0.91788917
104	0.9178133841
105	0.917720538
106	0.9176456289
107	0.9175744856
108	0.9175355114
109	0.9174729373
110	0.9173647467
111	0.9173283863
112	0.9172571941
113	0.9171822807
114	0.9171025058
115	0.9170070142
116	0.9168961975
117	0.9168026241
118	0.9167184925
119	0.9166525942
120	0.9165510074
121	0.9164803101
122	0.9164034882
