iter	Passed	Remaining
0	432	432484
1	662	330733
2	865	287760
3	1105	275214
4	1316	262052
5	1634	270731
6	1963	278579
7	2282	283006
8	2485	273706
9	2729	270246
10	2919	262478
11	3155	259811
12	3328	252736
13	3590	252851
14	3781	248314
15	4049	249074
16	4263	246534
17	4479	244371
18	4689	242101
19	4966	243346
20	5131	239210
21	5319	236490
22	5548	235699
23	5734	233212
24	5983	233363
25	6255	234349
26	6455	232619
27	6724	233437
28	7028	235349
29	7292	235802
30	7572	236705
31	7781	235396
32	8084	236887
33	8403	238761
34	8645	238369
35	8890	238055
36	9160	238423
37	9356	236861
38	9566	235726
39	9825	235801
40	10104	236351
41	10323	235465
42	10580	235469
43	10792	234484
44	11068	234896
45	11340	235183
46	11611	235432
47	11923	236480
48	12230	237377
49	12569	238829
50	12852	239154
51	13172	240146
52	13445	240250
53	13729	240526
54	14037	241185
55	14289	240887
56	14560	240887
57	14888	241807
58	15177	242064
59	15430	241751
60	15663	241111
61	15917	240813
62	16228	241363
63	16504	241380
64	16817	241918
65	17115	242209
66	17375	241963
67	17667	242155
68	17947	242155
69	18209	241920
70	18465	241615
71	18716	241238
72	18985	241092
73	19241	240784
74	19543	241037
75	19791	240624
76	20061	240480
77	20409	241247
78	20706	241397
79	20989	241378
80	21308	241754
81	21597	241787
82	21922	242205
83	22230	242414
84	22523	242453
85	22844	242787
86	23132	242753
87	23460	243141
88	23825	243871
89	24221	244907
90	24549	245227
91	24826	245027
92	25106	244856
93	25414	244951
94	25724	245059
95	26020	245027
96	26341	245218
97	26666	245437
98	26987	245611
99	27324	245924
100	27627	245909
101	27926	245866
102	28294	246409
103	28634	246695
104	28975	246978
105	29253	246719
106	29538	246518
107	29796	246094
108	30095	246011
109	30382	245820
110	30639	245395
111	30868	244739
112	31132	244372
113	31436	244319
114	31688	243865
115	31965	243596
116	32297	243751
117	32571	243457
118	32867	243328
119	33129	242947
120	33402	242654
121	33655	242206
122	33921	241864
123	34286	242218
124	34557	241903
125	34854	241771
126	35161	241698
127	35434	241394
128	35765	241485
129	36027	241110
130	36266	240579
131	36573	240498
132	36821	240034
133	37128	239952
134	37393	239593
135	37670	239319
136	37952	239075
137	38248	238917
138	38522	238616
139	38753	238056
140	39037	237823
141	39327	237626
142	39627	237487
143	39941	237431
144	40261	237403
145	40542	237146
146	40841	236989
147	41105	236632
148	41441	236690
149	41693	236265
150	42017	236242
151	42337	236198
152	42562	235625
153	42804	235144
154	43037	234621
155	43353	234554
